Emirate_Ar,Emirate_En,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),Measurement_unit_Ar,Measurement_unit_En,اسم المحطة,Station Name,نوع موقع المحطة ,Type of Location ,Year,Value
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع حمدان,Hamdan Street,جانب الطريق,Traffic,2013,107
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خديجة,Khadejah School,وسط المدينة ,Down Town,2013,133
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خليفة,Khalifa School,حضرية/ سكنية,Urban/Residential,2013,139
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المقطع,Al Maqta,حضرية/ سكنية,Urban/Residential,2013,124
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدينة خليفة أ,Khalifa City A, حضرية/ سكنية,Urban/Residential,2013,142
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة بني ياس,Baniyas School,حضرية/ سكنية,Urban/Residential,2013,147
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مصفح,Mussafah ,صناعية  ,Industrial,2013,164
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المفرق,Al Mafraq,صناعية,Industrial,2013,195
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³, شارع العين,Al Ain Street,جانب الطريق,Traffic,2013,155
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة العين,Al Ain Islamic Institute,حضرية/ سكنية,Urban/Residential,2013,115
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الطوية,Al Tawia,حضرية/ سكنية,Urban/Residential,2013,130
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,زاخر,Zakher , حضرية/ سكنية,Urban/Residential,2013,79
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,سويحان,Sweihan,حضرية/ سكنية,Urban/Residential,2013,137
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,القوع,Al Qua'a,ريفية/ سكنية,Residential,2013,146
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,طريق أبوظبي - طريف السريع,Abu Dhabi- Tarif Road,جانب الطريق,Traffic,2013,-
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³, بدع زايد,Bida Zayed ,حضرية/ سكنية,Urban/Residential,2013,146
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حبشان,Habshan South ,ريفية/ سكنية,Residential,2013,147
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الرويس,Ruwais ,صناعية  ,Industrial,2013,-
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة غياثي,Gayathi School,وسط المدينة,Down Town,2013,145
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,واحة ليوا,Liwa Oasis,نائية,Remote Area,2013,133
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ديرة ,Deira,سكنية-تجارية,Residential-Commercial,2013,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الكرامة,Karama,سكنية-تجارية,Residential-Commercial,2013,101
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حديقة زعبيل,Zabeel Park,حديقة,Park,2013,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,قرية جبل علي ,Jebel Ali Village,سكنية,Residential,2013,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,تلال الإمارات,Emirates Hills,سكنية,Residential,2013,86
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مطار دبي,Dubai Airport,سكنية,Airport,2013,84
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المشرف,Mushrif,حديقة,Park,2013,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حتا,Hatta,نائية,Remote Area,2013,48
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ميناء جبل علي,Jebel Ali Port,صناعية  ,Industrial,2013,115
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ورسان ,Warsan,صناعية  ,Industrial,2013,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع الشيخ زايد,Shk. Zayed Road,جانب الطريق,Traffic,2013,37
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع الشيخ محمد بن زايد,Sheikh Mohd. Bin Zayed Rd.,جانب الطريق,Traffic,2013,50
الشارقة,Sharjah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الحمرية,Al hummariah,صناعية ,Industrial ,2013,-
الشارقة,Sharjah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,كلباء,Kalba,سكنية ,Residential,2013,-
عجمان ,Ajman,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الحميدية,Al hamediah ,سكنية ,Residential,2013,-
عجمان ,Ajman,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مشيرف,Musharif,سكنية ,Residential,2013,-
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الجير,Al Jeer,سكنية ,Residential,2013,126
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,البريرات,Al Burairat,سكنية ,Residential,2013,205
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,القاسمية,AL Qasmiah,سكنية ,Residential,2013,251
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,غليلة,Ghalilah,سكنية ,Residential,2013,-
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع حمدان,Hamdan Street,جانب الطريق,Traffic,2014,123
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خديجة,Khadejah School,وسط المدينة ,Down Town,2014,93
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خليفة,Khalifa School,حضرية/ سكنية,Urban/Residential,2014,83
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المقطع,Al Maqta,حضرية/ سكنية,Urban/Residential,2014,113
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدينة خليفة أ,Khalifa City A, حضرية/ سكنية,Urban/Residential,2014,84
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة بني ياس,Baniyas School,حضرية/ سكنية,Urban/Residential,2014,68
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مصفح,Mussafah ,صناعية  ,Industrial,2014,142
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المفرق,Al Mafraq,صناعية,Industrial,2014,164
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³, شارع العين,Al Ain Street,جانب الطريق,Traffic,2014,98
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة العين,Al Ain Islamic Institute,حضرية/ سكنية,Urban/Residential,2014,105
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الطوية,Al Tawia,حضرية/ سكنية,Urban/Residential,2014,101
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,زاخر,Zakher , حضرية/ سكنية,Urban/Residential,2014,94
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,سويحان,Sweihan,حضرية/ سكنية,Urban/Residential,2014,93
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,القوع,Al Qua'a,ريفية/ سكنية,Residential,2014,95
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,طريق أبوظبي - طريف السريع,Abu Dhabi- Tarif Road,جانب الطريق,Traffic,2014,132
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³, بدع زايد,Bida Zayed ,حضرية/ سكنية,Urban/Residential,2014,99
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حبشان,Habshan South ,ريفية/ سكنية,Residential,2014,106
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الرويس,Ruwais ,صناعية  ,Industrial,2014,122
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة غياثي,Gayathi School,وسط المدينة,Down Town,2014,96
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,واحة ليوا,Liwa Oasis,نائية,Remote Area,2014,111
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ديرة ,Deira,سكنية-تجارية,Residential-Commercial,2014,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الكرامة,Karama,سكنية-تجارية,Residential-Commercial,2014,137
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حديقة زعبيل,Zabeel Park,حديقة,Park,2014,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,قرية جبل علي ,Jebel Ali Village,سكنية,Residential,2014,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,تلال الإمارات,Emirates Hills,سكنية,Residential,2014,100
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مطار دبي,Dubai Airport,سكنية,Airport,2014,72
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المشرف,Mushrif,حديقة,Park,2014,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حتا,Hatta,نائية,Remote Area,2014,97
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ميناء جبل علي,Jebel Ali Port,صناعية  ,Industrial,2014,56
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,ورسان ,Warsan,صناعية  ,Industrial,2014,-
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع الشيخ زايد,Shk. Zayed Road,جانب الطريق,Traffic,2014,85
دبي,Dubai,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع الشيخ محمد بن زايد,Sheikh Mohd. Bin Zayed Rd.,جانب الطريق,Traffic,2014,58
الشارقة,Sharjah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الحمرية,Al hummariah,صناعية ,Industrial ,2014,-
الشارقة,Sharjah,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,كلباء,Kalba,سكنية ,Residential,2014,-
عجمان ,Ajman,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الحميدية,Al hamediah ,سكنية ,Residential,2014,-
عجمان ,Ajman,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مشيرف,Musharif,سكنية ,Residential,2014,-
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الجير,Al Jeer,سكنية ,Residential,2014,118
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,البريرات,Al Burairat,سكنية ,Residential,2014,87
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,القاسمية,AL Qasmiah,سكنية ,Residential,2014,199
رأس الخيمة ,Ras Al-Khaimah ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,غليلة,Ghalilah,سكنية ,Residential,2014,-
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع حمدان,Hamdan Street,جانب الطريق,Traffic,2015,172
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خديجة,Khadejah School,وسط المدينة ,Down Town,2015,138
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خليفة,Khalifa School,حضرية/ سكنية,Urban/Residential,2015,119
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المقطع,Al Maqta,حضرية/ سكنية,Urban/Residential,2015,144
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدينة خليفة أ,Khalifa City A, حضرية/ سكنية,Urban/Residential,2015,136
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة بني ياس,Baniyas School,حضرية/ سكنية,Urban/Residential,2015,142
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مصفح,Mussafah ,صناعية  ,Industrial,2015,172
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المفرق,Al Mafraq,صناعية,Industrial,2015,175
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³, شارع العين,Al Ain Street,جانب الطريق,Traffic,2015,101
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة العين,Al Ain Islamic Institute,حضرية/ سكنية,Urban/Residential,2015,124
